,Principal Component 1,Principal Component 2
152,-238.3529619962711,-58.81948967216806
153,-238.53197485511043,-60.96616139960089
154,17.277528478425726,-41.17543291923507
155,-226.9408224221043,-61.7960880638357
156,-247.53306803446478,-59.94022634259928
157,-72.57009013145097,-36.87790265195688
158,38.644184540414344,-33.727839419169406
159,264.26814439692583,25.467590111582155
160,-242.6952243731346,-56.55950842064759
161,-187.4713408743636,-50.01501810699638
162,-231.91525482397932,-61.348704223401235
163,-215.1056017289789,-58.42622742076302
164,-182.2702712170217,-56.17315147847331
165,-230.78604912272164,-56.85017738325791
166,-90.85749349223659,-59.28258021844021
167,-226.171281512044,-62.60596654344288
168,-172.69704681508713,-46.769533590276424
169,-143.13412317971842,-44.02545494376412
170,-134.70697757656032,-57.10828051359212
171,-40.224016699035566,-82.25643577631178
172,-116.40136450871539,-27.452281439862293
173,106.82996129370014,28.167605316600426
174,128.02223652057629,-22.694053536114115
175,-204.5776146663097,-55.520188576430286
176,-239.96546609041226,-60.434415906564986
177,-239.63884440471915,-58.26983910815944
178,469.9842442690572,108.5426569306463
179,-51.92320211105722,-40.57237239664153
180,-241.14822309309517,-60.902429349267784
181,-246.1142579324407,-51.2483017980782
182,-229.35142714024232,-63.18856140406138
183,-242.30880828528618,-60.211952062216824
184,143.29212936129306,-4.20383824121348
185,-173.0456567151734,-47.851818956918855
186,-249.54487037826465,-58.82786849557824
187,-241.13605798806708,-60.336460130278645
188,-190.80079475844812,-55.52884914910301
189,-204.7686447244607,-56.507832676258104
190,-238.99077375875908,-61.14215792893777
191,-34.68052524609622,31.9088227500731
192,-241.47336201809026,-60.53048159270038
193,-208.15055562799967,-56.09112343853218
194,-38.379403912941164,-46.70912405053325
195,-240.79327763238692,-58.43783443426689
196,61.55675955773848,2.8468422418372237
197,-46.705004980442254,-7.613438892049323
198,-245.1468341010117,-58.97963429113955
199,-184.92144340796338,-49.44094191324131
200,-246.63109002525977,-59.310998325086885
201,-187.00522066030598,-53.92083257743264
202,-243.7973080999747,-55.66463910195317
203,-235.17622144837878,-59.52650620788659
204,700.1108025077564,53.946887347859935
205,-143.46579351095065,-32.01164496137709
206,-243.52535850703674,-57.091141627426055
207,-242.64223207537202,-57.954421915116555
208,-243.0533264689778,-59.23331737410334
209,-248.37909189948238,-59.82354654761457
210,232.831268029159,-59.6852260003208
211,-178.83476540025885,-52.592356870556415
212,-238.5261188726714,-60.00489199430054
213,-238.34350375535524,-57.98753645895954
214,-126.5185820301669,-44.95672380801174
215,67.69510541290315,-5.324113391673246
216,-233.52342134183212,-9.563055414208108
217,-241.20429684746347,-60.6568801795466
218,-84.61239749162792,-26.46624523652819
219,-238.70352272206935,-59.45282110249297
220,-205.36658857813129,-54.790096813833166
221,-119.38343238259267,-54.18817675604073
222,-154.13615072559492,-57.99717400027645
223,-241.427037447537,-59.81926114301698
224,-244.18808529416577,-55.90382393812673
225,-247.8774205185355,-59.072952695699044
226,-138.7924482109533,-42.483862490835975
227,-247.47538747716555,-59.982167493760926
228,-244.05572517573228,-60.490364891476595
229,-162.08526276461822,-71.03566443727475
230,-48.21066116724195,-13.882358103562872
231,-22.423476028493702,-12.658462606595739
232,-39.88054384568146,19.329207379784826
233,-233.36247598967594,-61.22256631080111
234,-153.65065336545373,-57.9228426626604
235,-243.25132883249663,-59.47679538215114
236,-238.9886154789011,-61.254227640125166
237,252.16707886871146,7.11585254002962
238,-116.9070710518516,-11.987397183049078
239,-237.24954365811854,-60.59928370791591
240,-237.7935726664832,-60.32082558522589
241,-233.78571764473926,-60.11997947161881
242,-230.07966699934195,-55.07620863254367
243,-231.08047094348254,-41.63912667757477
244,-203.5258946080848,-54.27416110785151
245,-118.70953043812794,-57.85816114522339
246,-243.69982961856888,-59.951536257656734
247,1432.5756020962401,314.0592554656476
248,151.54168318179856,-17.164484259638723
249,-81.59323051149585,-42.62797434589795
250,-243.64388177764687,-59.75680307379606
251,-243.82589121830893,-54.09161921355249
252,-118.28304441388251,-41.04942691281671
253,-204.6045458551607,-52.979292409710865
254,260.65312482935525,99.59986169536334
255,-224.37765832313283,-61.100620278598406
256,-201.98000104021517,-54.80367975338543
257,-174.99595296255566,-12.69816987762853
258,-226.60292916893422,-53.784866444388435
259,-184.46786815095922,-32.82094812998275
260,-126.11127387232712,-59.523097649563425
261,894.515268886611,-231.88514026425185
262,-210.9456255932035,-65.1477408351791
263,-234.95495327330426,-57.96677003028877
264,-232.9611538188817,-52.53000219804754
265,-230.4933781500145,-61.77142825296611
266,-240.26694901136568,-60.262217975775634
267,-61.503441898648006,6.204032104445328
268,-116.76801280752824,-46.075071892422535
269,-248.7529115785622,-54.97980680494711
270,-230.8270481086247,-61.875583433584076
271,-166.9601395731805,-39.05150587765432
272,-235.9157952381994,-60.58204300830824
273,233.50537718740742,37.98656514962442
274,-234.27464869626567,-60.91900845514941
275,-240.70750643878173,-59.64813875469092
276,697.2690481461973,26.70784252340019
277,732.1915040201434,85.82959074792652
278,278.3498352217989,75.75979300325491
