,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24,Sample_25,Sample_26,Sample_27,Sample_28,Sample_29,Sample_30,Sample_31,Sample_32,Sample_33,Sample_34,Sample_35,Sample_36,Sample_37,Sample_38,Sample_39,Sample_40,Sample_41,Sample_42,Sample_43,Sample_44,Sample_45,Sample_46,Sample_47,Sample_48,Sample_49,Sample_50,Sample_51,Sample_52,Sample_53,Sample_54,Sample_55,Sample_56,Sample_57,Sample_58,Sample_59,Sample_60,Sample_61,Sample_62,Sample_63,Sample_64,Sample_65,Sample_66,Sample_67,Sample_68,Sample_69,Sample_70,Sample_71,Sample_72,Sample_73
Sample_39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9988278876051429,,0.9995023304827505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9977068269224841,0.9995023304827505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9992747046072543,0.9989751263418908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9992747046072543,,0.999742447857366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9989751263418908,0.999742447857366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999176172430107,0.9956230789852819,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999176172430107,,0.9960353134208279,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9956230789852819,0.9960353134208279,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9987319339253321,0.9995877990313029,,,,,,,,,,,,,,,,,,,,,,,,
Sample_48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9987319339253321,,0.999379286468932,,,,,,,,,,,,,,,,,,,,,,,,
Sample_49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9995877990313029,0.999379286468932,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.998258855254222,0.9989831130307588,,,,,,,,,,,,,,,,,,,,,
Sample_51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.998258855254222,,0.9993441367451644,,,,,,,,,,,,,,,,,,,,,
Sample_52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9989831130307588,0.9993441367451644,,,,,,,,,,,,,,,,,,,,,,
Sample_53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9995979264881831,0.99474184886006,,,,,,,,,,,,,,,,,,
Sample_54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9995979264881831,,0.9947926865312315,,,,,,,,,,,,,,,,,,
